"Daily Weather Observations for Canberra, Australian Capital Territory for July 2017"
"Prepared at 05:37 GMT on Tuesday 18 July 2017   IDCJDW2801.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,-8.7,12.1,0,,,S,24,00:10,-0.5,81,,N,2,1032.3,11.7,37,,N,6,1029.1
,2017-07-2,-8.2,13.8,0,,,NNW,19,14:47,-0.3,87,,WNW,6,1029.1,13.5,26,,NNW,11,1024.0
,2017-07-3,-7.1,10.6,0,,,NW,33,23:33,-1.1,81,8,NNW,9,1021.8,8.9,64,8,SW,7,1015.3
,2017-07-4,-1.1,13.9,0,,,NW,57,15:33,9.1,63,,NNW,30,1013.9,10.7,67,5,NW,33,1012.3
,2017-07-5,6.6,13.3,0,,,NNW,41,08:53,8.9,82,2,NNW,31,1014.4,9.8,77,6,WNW,17,1012.4
,2017-07-6,-2.3,12.7,1.6,,,NW,35,13:31,4.9,91,,SE,7,1019.0,11.8,45,,WNW,24,1015.6
,2017-07-7,-2.6,12.3,0.6,,,NW,44,13:59,2.1,99,8, ,Calm,1013.7,11.0,46,7,WNW,26,1011.0
,2017-07-8,-5.1,11.8,0,,,NW,35,12:31,2.3,99,,SW,6,1016.9,10.4,66,7,NW,19,1016.1
,2017-07-9,2.3,11.6,0.2,,,WNW,39,12:14,6.6,83,8,NNW,19,1021.5,9.3,66,8,WNW,22,1019.8
,2017-07-10,-3.5,12.2,0,,,NW,31,15:01,1.7,96,8,SE,6,1027.9,11.1,51,,NW,24,1025.8
,2017-07-11,-6.0,13.3,0,,,W,20,15:10,-1.4,99,4,N,6,1033.2,12.7,46,4,W,13,1031.7
,2017-07-12,-3.6,12.3,0,,,SE,24,08:22,2.3,88,,SE,13,1036.6,11.3,47,,N,6,1032.3
,2017-07-13,-5.8,12.7,0.2,,,NW,33,16:07,-0.3,99,8,NNW,2,1030.0,11.7,51,,NW,22,1024.7
,2017-07-14,-2.2,14.0,0,,,NNW,48,14:43,8.2,80,,NNW,7,1019.7,11.4,61,8,NW,33,1016.2
,2017-07-15,-2.5,10.8,0.6,,,WNW,31,14:55,5.1,99,7,SSW,2,1020.4,9.9,49,8,WNW,22,1019.5
,2017-07-16,-7.0,10.5,0,,,N,26,13:00,-0.4,88,,SW,4,1024.9,10.1,43,,N,13,1021.3
,2017-07-17,-5.5,13.7,0,,,NE,41,21:46,-0.6,93,6, ,Calm,1021.3,12.1,55,1,NW,28,1017.3
,2017-07-18,-0.6,,4.2,,,,,,8.8,80,,N,17,1014.1,10.3,71,2,NW,26,1010.7
